income,loan,duration,decision
6091,1280,360,0
3000,660,360,1
4941,1200,360,1
6000,1410,360,1
9613,2670,360,1
3849,950,360,1
5540,1580,360,0
5532,1680,360,1
23809,3490,360,0
3900,700,360,1
4340,1090,360,1
11179,2000,360,1
4693,1140,360,0
2385,170,120,1
4950,1250,360,1
3596,1000,240,1
3510,760,360,0
4887,1330,360,0
7660,1040,360,0
11580,3150,360,1
4511,1160,360,0
5282,1120,360,0
6642,1510,360,0
9560,1910,360,1
5052,1220,360,1
5266,1100,360,1
1442,350,360,0
5833,1200,360,1
7535,2010,360,0
3167,740,360,0
4692,1060,360,0
5167,1140,360,1
15500,3200,360,0
5126,1440,360,1
11376,1840,360,1
5416,1100,360,1
3600,800,360,0
3013,470,360,1
2400,750,360,1
6277,1340,360,1
5649,440,360,1
5821,1440,360,1
6085,1200,360,0
6275,1440,360,1
3572,1000,360,1
3086,1200,360,1
4230,1120,360,0
4616,1340,360,0
11500,2860,360,0
3875,970,360,1
3723,960,360,1
5566,1350,360,0
10330,1800,360,1
6216,1440,360,1
6296,1200,360,1
3029,990,360,1
6058,1650,180,0
4166,1160,360,0
10321,2580,360,0
5454,1260,180,0
10750,3120,360,1
7100,1250,60,1
4300,1360,360,0
6274,1720,360,1
3750,970,360,1
3500,810,300,1
7040,1870,360,1
3750,1130,480,0
8500,1760,360,0
4022,1100,360,0
7167,1800,300,0
5499,1300,360,1
3846,1110,360,1
3259,1670,360,0
8250,2650,360,0
3988,500,240,1
4897,1360,360,1
5333,990,360,1
4618,1040,360,1
8566,2100,360,1
9862,1750,360,1
5858,1310,360,1
11904,1880,180,1
5093,810,360,1
4133,1220,360,1
3620,250,120,1
4786,1370,360,1
2974,500,360,1
4188,1150,180,1
5300,1310,360,1
7551,1330,180,1
8649,1510,360,1
4570,1600,360,1
4082,1000,360,1
12543,2250,360,1
7333,1200,360,0
7400,2160,360,0
2825,940,480,1
5316,1360,360,1
5262,1390,360,1
5050,1180,360,1
14583,1850,180,1
5450,1540,360,1
3612,850,360,1
7710,1750,360,0
10408,2590,360,1
8334,1800,360,1
4166,440,360,1
11117,1370,360,1
2957,810,360,1
6314,1940,360,1
3692,930,360,1
23803,3700,360,1
14363,1600,180,0
8649,1820,360,0
20166,6500,480,1
3943,740,360,1
2718,700,360,1
3459,250,120,1
4895,1020,360,1
11750,2900,360,0
4583,840,360,0
6816,880,360,1
14999,2420,360,0
5630,1290,360,0
7125,1850,360,0
5417,1680,360,1
6950,1750,180,1
4732,1220,360,1
11757,1870,180,1
6816,1000,360,1
14866,700,360,1
2963,300,360,1
11666,2250,360,0
5690,1250,360,1
6277,1180,360,0
6327,1520,360,1
9166,2440,360,0
2281,1130,360,0
3254,500,360,1
39999,6000,180,1
6000,1600,360,1
9538,1870,360,1
5063,1200,360,1
10208,2550,360,1
2904,980,360,1
7933,2750,360,0
4369,1210,360,0
5614,1580,360,1
9323,750,180,1
4583,1120,360,0
5772,1290,360,1
2237,630,480,0
8000,2000,360,1
3589,950,360,1
51763,7000,300,1
3522,810,180,0
11333,1870,360,1
5080,870,360,0
5461,1160,360,1
3664,1010,360,1
16816,4950,360,0
3750,1160,360,1
3784,1020,480,0
13650,1800,360,0
6979,670,360,0
4600,730,180,1
33846,2600,360,0
3625,1080,360,1
43897,1200,360,1
2178,660,300,0
4521,580,360,1
5970,1680,360,1
9328,1880,180,1
4885,480,360,1
12000,1640,360,0
6033,1600,360,0
3858,760,360,1
4191,1200,360,1
5708,1700,360,0
12083,1870,360,1
6232,1130,360,1
11000,830,360,0
5100,900,360,1
4923,1660,360,1
4583,1350,360,1
3917,1240,360,1
4408,1200,360,1
3244,800,360,1
6506,550,360,1
2479,590,360,1
3418,1270,360,0
10000,2140,360,0
4680,1280,360,0
7787,2400,360,1
5703,1300,360,1
6194,1370,360,1
4833,1000,360,1
1950,1350,360,0
5502,1310,360,1
5000,720,360,0
6666,1270,360,1
2221,600,360,0
5726,1160,360,1
5762,1440,360,1
6250,1280,360,1
3250,1700,360,0
4735,1380,360,0
7945,2100,360,1
4758,1580,480,1
6400,2000,360,1
4545,1040,360,1
3716,420,180,1
8333,2800,360,1
4934,1400,360,1
6760,1700,360,1
5746,2550,360,0
3463,1220,360,1
3812,1120,360,1
3315,960,360,1
10819,1200,360,1
4493,1400,180,0
8666,1550,60,1
7550,1080,360,1
7823,1230,360,1
10383,1200,180,0
9703,1120,360,1
6608,1370,180,1
4725,1230,480,1
3677,900,360,1
5558,2010,360,0
3427,1380,360,0
4750,1040,360,1
9762,2790,180,1
16250,1920,360,0
3083,2550,360,1
6045,1150,360,0
5250,940,360,0
16783,3040,360,0
4931,1280,360,0
10333,3300,360,1
4269,1340,360,1
3481,1550,36,0
7200,1200,360,1
5166,1280,360,1
7542,1510,360,1
6095,1500,360,1
6144,1600,360,1
3418,1350,360,0
4436,900,360,1
3237,300,360,1
11146,1360,360,1
4690,1260,360,1
4843,1500,360,1
3900,900,360,1
4592,1150,360,1
7267,2070,360,1
4403,800,360,1
14583,4360,360,1
4100,1240,360,1
6479,1580,360,0
4727,1120,360,1
3286.799988,780,180,1
3477,540,360,1
6211,890,360,1
